"Str #","Mall Name","Developer","City","ST","ZIP Code","Market Area","Gross SqFt (Lease) ","Sales Area SqFt (Cnstr)","REC Approve Date","Original Opening ","Remodel Date","Lease Expires","Sales Projection","TY TTM Sales","TY Sales PSF","TY TTM Op Inc","TY TTM CF","Sales % ? vs. LY","LY TTM Sales","LY Sales PSF","LY TTM Op Inc","LY TTM CF","TTM R&O","R&O % Sales","Tenant Allowance PSF","Center Type","Cluster Name","Center Rank","Mall GLA","Shop GLA","Mall Sales PSF ","Mall Sales PSF Date ","RM / DM Wishlist","Top Tier ""A""","Forever 21","State/Area","Mills/Outlet","Street","Store Prototype ","Center Cashwrap (Y/N)","Entry Soffit (Y/N)","Cashwrap Soffit (Y/N)","Illuminated Accessory Wall (Y/N)","Illuminated Shoe Wall (Y/N)","Illuminated Window Walls (Y/N)","Floor Finish ","Brite Store Make-Up"
239,"Gilroy Premium Outlets","Chelsea Property Group","Gilroy","CA",95020,"California Non Metro","5,931","4,374","9/12/2002","2/28/2003",,"1/31/2013","$1,500,000 ","$2,416,399 ","$407 ","$503,195 ","$562,467 ","-10%","$2,670,356 ","$450 ","$752,689 ","$795,893 ","$258,582 ","10.70%","$10 ","O","Outlet","B","576,699","374,000","$436 ","9-Feb",,,,,,,"Mills Old","Yes","No","No","No","No","No","Maple Hardwood","None"
240,"Eastland Center","JLL","Harper Woods","MI",48225,"Detroit-Ann Arbor-Flint, MI","8,666","7,010","6/6/2002","3/14/2003",,"3/31/2013","$1,500,000 ","$971,912 ","$112 ","($32,876)","$20,461 ","-6%","$1,035,122 ","$119 ","$95,936 ","$119,782 ","$172,318 ","17.70%","$50 ","M","Urb/Sub","C","1,319,185","621,000","$350 ","8-Aug",,,,,,,"Gen II","No","No","No","No","No","No","Carpet/Tile","None"
241,"Brandon","Westfield Corp.","Brandon","FL",33511,"Tampa--St. Petersburg--Clearwater, FL MSA","6,849","5,169","9/20/2002","4/18/2003","9/7/2007","1/31/2018","$1,800,000 ","$2,119,445 ","$309 ","$163,594 ","$277,995 ","-4%","$2,204,979 ","$322 ","$314,511 ","$412,034 ","$429,870 ","20.30%","$37 ","M","Mall","A","970,000","360,816","$525 ","8-Aug",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
242,"Manhattan Mall","Vornado","New York","NY",10001,"NY-N. NJ-Long Island, NY-NJ-CT-PA","10,520","8,511","10/7/2002","4/10/2003",,"2/28/2013","$5,500,000 ","$5,613,264 ","$534 ","$95,985 ","$394,400 ","-9%","$6,175,605 ","$587 ","$859,255 ","$1,031,411 ","$1,565,119 ","27.90%","$50 ","M","Mall","A","503,788","194,701","$800 ","8-Aug",,,,,,"S","Brite Store","Yes","Yes","Yes","Yes","Yes","No","Maple Hardwood","Partial"
243,"Arnot Mall","Arnot Realty Corp.","Horseheads","NY",14845,"Elmira, NY MSA","6,630","4,890","6/6/2002","4/4/2003",,"4/30/2013","$1,500,000 ","$1,257,661 ","$190 ","$179,678 ","$231,713 ","-1%","$1,276,476 ","$193 ","$276,588 ","$300,174 ","$129,504 ","10.30%","$60 ","M","Rural","C","1,050,754","1,049,933","$310 ","8-May",,,,,,,"Gen II","No","No","No","No","No","No","Carpet/Tile","None"
244,"Houston Galleria","Simon","Houston","TX",77056,"Houston-Galveston-Brazoria, TX","6,473","4,893","10/30/2002","3/28/2003",,"1/31/2014","$2,300,000 ","$2,232,128 ","$345 ","$121,585 ","$217,987 ","-3%","$2,302,501 ","$356 ","$288,282 ","$353,361 ","$506,040 ","22.70%","$50 ","M","Mall","A","1,327,066","1,011,020","$930 ","10-May",,,,,,,"Gen II","Curved","No","No","No","No","No","Carpet/Tile","None"
245,"Apache Mall","GGP","Rochester","MN",55902,"Rochester, MN MSA","7,417","5,870","5/14/2002","3/21/2003",,"1/31/2014","$1,700,000 ","$1,172,722 ","$158 ","($106,520)","($42,372)","-5%","$1,230,494 ","$166 ","$33,778 ","$66,725 ","$364,254 ","31.10%","$60 ","M","Urb/Sub","B","747,195","250,000","$406 ","8-Jun",,,,,,,"Gen II","No","No","No","No","No","No","Carpet/Tile","None"
247,"Grand Prairie, Shoppes at","Northwest Peoria Retail","Peoria","IL",61615,"Peoria--Pekin, IL MSA","7,660","5,737","11/21/2002","4/9/2003",,"1/31/2014","$1,500,000 ","$1,006,651 ","$131 ","$52,519 ","$124,509 ","-15%","$1,189,974 ","$155 ","$199,136 ","$242,459 ","$104,150 ","10.30%","$60 ","LA","Lifestyle","C","854,000",,"$300 ","9-Nov",,,,,,,"Gen II","Curved","No","No","No","No","No","Maple Hardwood","None"
248,"Buckland Hills, The Shoppes at ","GGP","Manchester","CT",6040,"Hartford, CT MSA","6,780","5,196","8/13/2002","4/18/2003",,"1/31/2014","$1,800,000 ","$1,454,886 ","$215 ","($35,224)","($29,904)","1%","$1,445,876 ","$213 ","$12,412 ","$39,203 ","$450,545 ","31.00%","$60 ","M","Urb/Sub","B","1,050,000","345,738","$409 ","9-Jul",,,"F21",,,,"Gen II","No","No","No","No","No","No","Carpet/Tile","None"
249,"Valley West Mall","Watson Centers","West Des Moines","IA",50266,"Des Moines, IA MSA","7,356","5,852","6/6/2002","5/2/2003",,"1/31/2013","$1,800,000 ","$1,213,652 ","$165 ","($33,083)","$22,339 ","-5%","$1,278,108 ","$174 ","$91,791 ","$117,784 ","$345,665 ","28.50%","$50 ","M","Rural",,"969,634","360,000",,,,,,,,,"Gen II","No","No","No","No","No","No","Carpet/Tile","None"
250,"Springfield Mall ","Preit","Springfield ","PA",19064,"Philadelphia-Wil-Atl Cty, PA-NJ-DE-MD","7,000","5,616","8/30/2002","4/11/2003",,"4/10/2013","$1,700,000 ","$1,972,524 ","$282 ","$225,162 ","$288,356 ","5%","$1,872,787 ","$268 ","$321,645 ","$358,382 ","$375,789 ","19.10%","$55 ","M","Urb/Sub",,"594,903","227,727",,,,,,,,,"Gen II","No","No","No","No","No","No","Carpet/Tile","None"
251,"Provo Towne Centre","GGP","Provo","UT",84601,"Provo--Orem, UT MSA","6,523","4,896","9/30/2002","4/18/2003",,"1/31/2014","$1,300,000 ","$792,305 ","$121 ","($15,210)","$42,913 ","-22%","$1,012,386 ","$155 ","$127,346 ","$157,154 ","$81,121 ","10.20%","$60 ","M","Urb/Sub","D","801,601","237,434","$275 ","10-Jul",,,,,,,"Gen II","Curved","No","No","No","No","No","Carpet/Tile","None"
252,"Panama City Mall","CBL","Panama City","FL",32405,"Panama City, FL MSA","7,301","5,455","6/6/2002","5/9/2003",,"1/31/2014","$1,700,000 ","$909,786 ","$125 ","($105,633)","($46,167)","-11%","$1,025,561 ","$140 ","$28,180 ","$64,212 ","$212,280 ","23.30%","$50 ","M","Rural","D","615,462","246,888","$285 ","9-Sep",,,,,,,"Gen II","No","No","No","No","No","No","Carpet/Tile","None"
253,"Capital City Mall","Preit","Camp Hill","PA",17011,"Harrisburg--Lebanon--Carlisle, PA MSA","7,410","5,405","2/15/2002","5/16/2003",,"1/31/2014","$1,600,000 ","$1,147,530 ","$155 ","$101,189 ","$158,393 ","0%","$1,150,491 ","$155 ","$214,147 ","$241,185 ","$116,297 ","10.10%","$60 ","M","Urb/Sub","B","608,978","288,000","$363 ","8-May",,,"F21",,,,"Gen II","No","No","No","No","No","No","Carpet/Tile","None"
254,"Mall of Louisiana","GGP","Baton Rouge","LA",70836,"Baton Rouge, LA MSA","6,577","5,081","4/2/2002","5/16/2003",,"12/31/2013","$2,000,000 ","$1,586,629 ","$241 ","$61,140 ","$140,379 ","-10%","$1,759,517 ","$268 ","$258,789 ","$296,854 ","$358,545 ","22.60%","$45 ","M","Mall","A","1,320,000","725,921","$601 ","8-Jun",,,"F21",,,,"Gen II","No","No","No","No","No","No","Carpet/Tile","None"
255,"Oakland Mall","Oakland Mall, LLC","Troy","MI",48083,"Detroit-Ann Arbor-Flint, MI","8,000","5,737","6/6/2002","5/16/2003",,"1/31/2014","$2,000,000 ","$1,257,726 ","$157 ","($63,610)","$11,287 ","-12%","$1,427,564 ","$178 ","$109,023 ","$166,838 ","$310,914 ","24.70%","$31 ","M","Urb/Sub","C","1,500,000","422,000","$350 ","8-Aug",,,"F21",,,,"Gen II","No","No","No","No","No","No","Carpet/Tile","None"
256,"Steeplegate Mall","GGP","Concord","NH",3301,"Boston-Worcester-Lawrence-Lowell-Brockton,MA-NH","6,800","5,317","9/20/2002","4/25/2003",,"1/31/2014","$1,600,000 ","$1,100,579 ","$162 ","($99,756)","($43,794)","-8%","$1,198,119 ","$176 ","$50,513 ","$72,998 ","$325,382 ","29.60%","$60 ","M","Rural","B","488,450","170,000","$354 ","8-Jun",,,,,,,"Gen II","Curved","No","No","No","No","No","Carpet/Tile","None"
257,"Mall St. Vincent","GGP","Shreveport","LA",71104,"Shreveport--Bossier City, LA MSA","6,782","5,456","9/20/2002","6/27/2003",,"1/31/2014","$1,500,000 ","$1,122,481 ","$166 ","$110,068 ","$169,145 ","-17%","$1,348,504 ","$199 ","$270,301 ","$304,242 ","$129,719 ","11.60%","$55 ","M","Urb/Sub","C","530,000","154,629","$298 ","8-Jun",,,,,,,"Gen II","No","No","No","No","No","No","Carpet/Tile","None"
259,"Jefferson Valley Mall","Simon","Yorktown Heights","NY",10598,"NY-N. NJ-Long Island, NY-NJ-CT-PA","6,681","4,838","10/30/2002","7/25/2003",,"1/31/2014","$1,600,000 ","$912,373 ","$137 ","($261,200)","($214,375)","-20%","$1,144,598 ","$171 ","($86,787)","($41,317)","$407,275 ","44.60%","$60 ","M","Urb/Sub","B","611,592","273,436","$372 ","9-Sep",,,"F21",,,,"Gen II","No","No","No","No","No","No","Maple Hardwood","None"
260,"Valle Vista Mall","Simon","Harlingen","TX",78552,"Brownsville--Harlingen--San Benito, TX MSA","8,017","6,123","10/30/2002","5/23/2003",,"1/31/2014","$1,500,000 ","$1,079,604 ","$135 ","$129,389 ","$189,044 ","-7%","$1,166,692 ","$146 ","$228,776 ","$257,430 ","$95,760 ","8.90%","$60 ","M","Urb/Sub","D","656,360","257,576","$250 ","8-Jul",,,"F21",,,,"Gen II","No","No","No","No","No","No","Carpet/Tile","None"
261,"Hanes Mall","CBL","Winston Salem","NC",27103,"Greensboro--Winston-Salem--High Point, NC MSA","6,929","4,858","10/25/2002","8/6/2004",,"1/31/2015","$1,700,000 ","$1,070,261 ","$154 ","($91,693)","($21,497)","-11%","$1,201,043 ","$173 ","$50,040 ","$94,303 ","$314,437 ","29.40%","$50 ","M","Urb/Sub","B","1,808,294","550,000","$373 ","8-May",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Maple Hardwood","Full"
262,"Northwoods Mall","CBL","North Charleston","SC","29406-4021","Charleston--North Charleston, SC MSA","7,000","5,352","10/25/2002","6/27/2003",,"1/31/2014","$1,500,000 ","$1,284,585 ","$184 ","$203,779 ","$257,578 ","1%","$1,277,187 ","$182 ","$265,818 ","$290,947 ","$161,198 ","12.50%","$60 ","M","Rural","B","668,236","353,378","$360 ","8-May",,,,,,,"Gen II","No","No","No","No","No","No","Carpet/Tile","None"
263,"Greece Ridge Center","Wilmorite, Inc.","Rochester","NY",14626,"Rochester, NY MSA","6,565","4,893","11/12/2002","6/13/2003",,"1/31/2014","$1,800,000 ","$1,555,840 ","$237 ","$140,560 ","$205,050 ","-8%","$1,688,691 ","$257 ","$319,683 ","$357,204 ","$302,273 ","19.40%","$50 ","M","Urb/Sub","C","1,700,000","846,319","$315 ","9-Sep",,,,,,,"Gen II","Curved","No","No","No","No","No","Carpet/Tile","None"
264,"Lansing Mall","GGP","Lansing","MI",48917,"Lansing--East Lansing, MI MSA","6,617","4,959","9/20/2002","7/11/2003",,"1/31/2014","$1,500,000 ","$939,204 ","$142 ","$68,282 ","$124,565 ","-11%","$1,058,105 ","$160 ","$190,653 ","$213,846 ","$94,954 ","10.10%","$75 ","M","Rural","D","838,502","416,560","$258 ","8-Jun",,,"F21",,,,"Gen II","No","No","No","No","No","No","Maple Hardwood","None"
265,"Westmoreland Mall","CBL","Greensburg","PA",15601,"Pittsburgh, PA MSA","6,815","5,055","12/17/2003","6/25/2004",,"1/31/2015","$1,600,000 ","$1,204,230 ","$177 ","($20,233)","$46,090 ","-4%","$1,260,273 ","$185 ","$113,103 ","$147,895 ","$302,436 ","25.10%","$60 ","M","Rural","B","1,275,691","587,129","$355 ","8-May",,,,,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Maple Hardwood","Full"
266,"Grand Traverse Mall","GGP","Traverse City","MI",49684," ","6,864","5,128","5/14/2002","7/3/2003",,"1/31/2014","$1,500,000 ","$1,111,521 ","$162 ","$126,015 ","$179,258 ","-6%","$1,185,944 ","$173 ","$222,803 ","$250,530 ","$119,227 ","10.70%","$60 ","M","Rural","C","578,000","293,755","$301 ","8-Jun",,,,,,,"Gen II","No","No","No","No","No","No","Maple Hardwood","None"
267,"Towne West Square","Simon","Wichita","KS",67209,"Wichita, KS MSA","6,135","4,309","11/12/2002","7/18/2003",,"1/31/2014","$1,600,000 ","$965,658 ","$157 ","($64,223)","($10,714)","-20%","$1,201,221 ","$196 ","$138,818 ","$162,675 ","$224,345 ","23.20%","$57 ","M","Rural","C","955,331","283,279","$340 ","8-Jul",,,,,,,"Gen II","No","No","No","No","No","No","Maple Hardwood","None"
268,"Bay Park Square","Simon","Green Bay","WI",54304,"Green Bay, WI MSA","7,105","5,870","3/28/2003","8/1/2003",,"1/31/2014","$1,600,000 ","$1,777,073 ","$250 ","$240,030 ","$309,210 ","-4%","$1,857,913 ","$261 ","$396,666 ","$432,647 ","$284,275 ","16.00%","$62 ","M","Rural","B","715,886","162,250","$420 ","8-Jul",,,,,,,"Gen II","Curved","No","No","No","No","No","Maple Hardwood","None"
269,"Valley Fair","Westfield Corp.","Santa Clara","CA",95050,"San Jose-Sunnyvale-Santa Clara","5,768","4,288","5/18/2002","8/8/2003",,"6/30/2013","$2,700,000 ","$1,787,043 ","$310 ","($177,237)","($93,036)","-7%","$1,921,915 ","$333 ","($1,791)","$66,767 ","$636,765 ","35.60%","$0 ","M","Mall","A","1,400,000","697,000","$653 ","9-Nov",,,"F21",,,,"Brite Store","No","No","No","Yes","Yes","No","Maple Hardwood","Partial"
270,"Pembroke Lakes Mall","GGP","Pembroke Pines","FL",33026,"Miami-Fort Lauderdale, FL","6,265","5,289","12/24/2002","11/26/2003",,"1/31/2014","$2,000,000 ","$1,448,414 ","$231 ","($82,870)","($7,622)","-11%","$1,625,220 ","$259 ","$83,687 ","$138,065 ","$414,819 ","28.60%","$36 ","M","Mall","A","1,140,000","337,015","$625 ","8-Jun",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","No","Maple Hardwood","Partial"
271,"Century III Mall","Simon","West Mifflin","PA",15123,"Pittsburgh, PA MSA","6,700","5,627","11/27/2002","8/29/2003",,"1/31/2014","$1,600,000 ","$656,678 ","$98 ","($77,006)","($77,006)","-16%","$777,285 ","$116 ","$1,072 ","($24,948)","$122,260 ","18.60%","$50 ","M","Urb/Sub","D","1,289,115","526,842","$290 ","8-Jul",,,,,,,"Gen II","Curved","No","No","No","No","No","Maple Hardwood","None"
273,"Mall St. Matthews","GGP","Louisville","KY",40207,"Louisville, KY--IN MSA","6,930","5,116","10/25/2002","9/19/2003",,"1/31/2014","$2,100,000 ","$2,041,277 ","$295 ","$262,640 ","$322,141 ","-7%","$2,194,758 ","$317 ","$437,926 ","$472,905 ","$397,664 ","19.50%","$40 ","M","Urb/Sub","B","1,090,000","442,000","$408 ","8-Jun",,,"F21",,,,"Gen II","No","No","No","No","No","No","Maple Hardwood","None"
274,"Mall of America","Triple Five","Bloomington","MN",55425,"Minneapolis--St. Paul, MN--WI MSA","11,218","8,956","6/3/2002","11/25/2003",,"1/31/2014","$4,000,000 ","$3,750,850 ","$334 ","$350,107 ","$479,749 ","-4%","$3,889,102 ","$347 ","$685,052 ","$797,416 ","$869,401 ","23.20%","$0 ","M","Mall",,"4,200,000","1,690,489",,,,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Maple Hardwood","Full"
275,"Wolfchase Galleria","Simon","Memphis","TN",38133,"Memphis, TN--AR--MS MSA","6,498","5,010","10/30/2002","9/26/2003",,"1/31/2014","$1,900,000 ","$1,420,281 ","$219 ","($14,907)","$46,680 ","-3%","$1,469,156 ","$226 ","$98,226 ","$134,203 ","$378,240 ","26.60%","$50 ","M","Urb/Sub","B","1,040,430","392,067","$450 ","8-Oct",,,"F21",,,,"Gen II","Curved","No","No","No","No","No","Maple Hardwood","None"
276,"Cordova Mall","Simon","Pensacola","FL",32504,"Pensacola, FL MSA","6,985","5,313","10/30/2002","9/12/2003",,"1/31/2014","$1,600,000 ","$1,360,987 ","$195 ","$34,838 ","$125,090 ","-10%","$1,513,087 ","$217 ","$183,298 ","$246,906 ","$287,943 ","21.20%","$59 ","M","Urb/Sub","B","845,906","355,426","$403 ","9-Sep",,,,,,,"Gen II","Curved","No","No","No","No","No","Maple Hardwood","None"
277,"Oakridge","Westfield Corp.","San Jose","CA",95123,"San Jose-Sunnyvale-Santa Clara","7,511","5,823","5/18/2002","10/3/2003",,"1/31/2014","$2,000,000 ","$1,340,101 ","$178 ","($162,047)","($153,614)","-2%","$1,360,817 ","$181 ","($24,462)","($56,018)","$494,435 ","36.90%","$50 ","M","Urb/Sub","B","1,018,888","550,687","$443 ","9-Oct",,,"F21",,,,"Gen II","No","No","No","No","No","No","Maple Hardwood","None"
278,"Southlake","Westfield Corp.","Hobart","IN",46410,"Chicago-Gary-Kenosha, IL-IN-WI","6,327","4,910","2/5/2003","10/10/2003",,"1/31/2014","$1,600,000 ","$1,835,297 ","$290 ","$199,895 ","$272,881 ","-14%","$2,134,141 ","$337 ","$417,652 ","$459,575 ","$356,026 ","19.40%","$50 ","M","Rural","B","1,272,000","399,859","$400 ","8-Aug",,,,,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Maple Hardwood","Full"
279,"Battlefield Mall","Simon","Springfield","MO",65804,"Springfield, MO MSA","7,350","6,004","2/19/2003","10/24/2003",,"1/31/2014","$1,800,000 ","$1,712,281 ","$233 ","$126,418 ","$199,753 ","-14%","$1,995,695 ","$272 ","$408,477 ","$447,337 ","$346,604 ","20.20%","$50 ","M","Urb/Sub","B","1,136,768","394,854","$410 ","8-Jul",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","No","Maple Hardwood","Partial"
280,"Hawthorn","Westfield Corp.","Vernon Hills","IL",60061,"Chicago-Gary-Kenosha, IL-IN-WI","7,254","6,303","2/19/2003","9/27/2003",,"1/31/2014","$1,800,000 ","$1,168,273 ","$161 ","($128,650)","($46,475)","-4%","$1,213,011 ","$167 ","$7,138 ","$53,783 ","$370,730 ","31.70%","$50 ","M","Urb/Sub","C","1,063,706","503,625","$305 ","9-Feb",,,,,,,"Gen II","No","No","No","No","No","No","Maple Hardwood","None"
281,"San Marcos Outlet Center","Tanger","San Marcos","TX",78666,"Austin--San Marcos, TX MSA","7,500","5,568","2/5/2003","9/26/2003",,"1/31/2014","$2,000,000 ","$3,394,114 ","$453 ","$937,175 ","$1,024,813 ","-12%","$3,869,040 ","$516 ","$1,441,175 ","$1,502,172 ","$223,362 ","6.60%","$20 ","O","Outlet","B",,,"$410 ","9-Feb","OPS",,,,,,"Mills Current","Yes","No","No","Yes","Yes","No","Vinyl","Partial"
282,"Fashion Square Mall","CBL","Saginaw","MI",48604,"Saginaw--Bay City--Midland, MI MSA","7,333","6,010","2/5/2003","3/26/2004",,"1/31/2015","$1,700,000 ","$1,162,782 ","$159 ","($44,414)","$25,415 ","-7%","$1,247,022 ","$170 ","$75,945 ","$115,446 ","$302,238 ","26.00%","$60 ","M","Rural","C","901,181",,"$306 ","8-Jul",,,,,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","No","Maple Hardwood","Partial"
283,"St. Louis Mills","Simon/Mills Corp","Hazelwood","MO",63042,"St. Louis, MO--IL MSA","7,418","5,635","9/20/2002","11/13/2003",,"1/31/2016","$2,000,000 ","$1,379,037 ","$186 ","$69,431 ","$134,431 ","-10%","$1,537,686 ","$207 ","$267,505 ","$317,677 ","$133,351 ","9.70%","$27 ","O","Outlet","C","1,100,000","529,700","$294 ","10-Sep",,,"F21",,,,"Mills Current","Yes","No","No","Yes","Yes","No","Vinyl","Partial"
284,"Memorial City Mall","Holcombe Properties","Houston ","TX",77024,"Houston-Galveston-Brazoria, TX","7,476","5,633","6/6/2002","11/26/2003",,"1/31/2014","$2,000,000 ","$2,234,466 ","$299 ","$196,633 ","$282,323 ","-6%","$2,374,812 ","$318 ","$430,392 ","$471,661 ","$445,492 ","19.90%","$50 ","M","Urb/Sub",,"1,900,000","570,000",,,,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","No","Maple Hardwood","Partial"
285,"South Towne Center","Macerich","Sandy","UT",84070,"Salt Lake City--Ogden, UT MSA","5,545","4,437","3/6/2003","11/21/2003",,"1/31/2014","$1,500,000 ","$1,146,893 ","$207 ","($53,138)","$16,182 ","-16%","$1,360,892 ","$245 ","$146,770 ","$185,074 ","$263,676 ","23.00%","$50 ","M","Urb/Sub","C","929,194","325,000","$340 ","10-Jul",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","No","Maple Hardwood","Partial"
286,"Riverhead Outlet Center","Tanger","Riverhead","NY",11901,"NY-N. NJ-Long Island, NY-NJ-CT-PA","7,500","5,805","2/5/2003","3/5/2004",,"1/31/2015","$2,000,000 ","$3,226,238 ","$430 ","$637,560 ","$731,132 ","-1%","$3,262,460 ","$435 ","$922,531 ","$993,455 ","$336,597 ","10.40%","$20 ","O","Outlet","A","430,000","285,345","$500 ","9-Feb",,,,,,,"Mills Current","Yes","No","No","No","No","No","Vinyl","None"
287,"Connecticut Post","Westfield Corp.","Milford","CT",6460,"New Haven-Bridgeport-stamford-Waterbury-Danbury, CT","6,386","5,015","2/5/2003","11/26/2003",,"1/31/2014","$1,600,000 ","$1,716,067 ","$269 ","$47,074 ","$127,062 ","5%","$1,631,098 ","$255 ","$97,064 ","$135,911 ","$351,688 ","20.50%","$70 ","M","Urb/Sub","C","825,522","353,522","$339 ","9-Apr",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","No","Maple Hardwood","Partial"
288,"Meadowood Mall","Simon","Reno","NV",89502,"Reno, NV MSA","7,424","5,653","5/9/2003","11/14/2003",,"1/31/2014","$2,200,000 ","$1,805,719 ","$243 ","($28,363)","$51,126 ","-22%","$2,305,301 ","$311 ","$349,462 ","$407,918 ","$519,426 ","28.80%","$30 ","M","Rural",,"890,000","300,000",,,,,,,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","No","Maple Hardwood","Partial"
289,"Waikele Premium Outlets","Chelsea Property Group","Waipahu","HI",96797,"Hawaii","5,365","3,757","5/7/2003","11/26/2003",,"12/31/2013","$1,800,000 ","$2,312,212 ","$431 ","$324,244 ","$396,103 ","-5%","$2,445,263 ","$456 ","$502,066 ","$545,886 ","$283,160 ","12.20%","$20 ","O","Outlet","A","214,000",,"$660 ","9-Feb",,,,,,,"Mills Current","Yes","No","No","No","No","No","Vinyl","None"
291,"Valencia Town Center","Westfield Corp.","Valencia","CA",91355,"Oxnard-Thousand Oaks-Ventura","6,318","5,019","6/10/2003","11/21/2003",,"1/31/2014","$1,600,000 ","$1,211,542 ","$192 ","($157,833)","($89,266)","-11%","$1,362,605 ","$216 ","($741)","$36,565 ","$360,106 ","29.70%","$50 ","M","Urb/Sub","B","674,943","282,024","$425 ","8-Aug",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","No","Maple Hardwood","Partial"
292,"Las Vegas Premium Outlets","Chelsea Property Group","Las Vegas","NV",89106,"Las Vegas, NV--AZ MSA","6,045","4,260","6/25/2003","11/21/2003",,"12/31/2013","$2,000,000 ","$3,792,335 ","$627 ","$1,136,014 ","$1,226,848 ","5%","$3,613,240 ","$598 ","$1,192,019 ","$1,254,896 ","$250,860 ","6.60%","$20 ","O","Outlet","A","434,978",,"$743 ","9-Feb",,,,,,,"Mills Current","Yes","No","No","No","No","No","Vinyl","None"
293,"Coastal Grand Mall","CBL","Myrtle Beach","SC",29577,"Myrtle Beach, SC MSA","7,000","5,535","8/8/2002","3/17/2004",,"3/31/2014","$1,600,000 ","$1,408,092 ","$201 ","$134,309 ","$159,636 ","-13%","$1,624,744 ","$232 ","$335,358 ","$341,442 ","$262,811 ","18.70%","$79 ","M","Urb/Sub","B","1,049,856","302,682","$375 ","8-May",,,,,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","No","Vinyl","Partial"
294,"Enfield","Centro Watt","Enfield","CT",6080,"Hartford, CT MSA","6,001","4,639","4/9/2003","3/26/2004",,"1/31/2014","$1,400,000 ","$970,609 ","$162 ","$78,610 ","$151,908 ","-6%","$1,027,153 ","$171 ","$182,127 ","$225,498 ","$50,806 ","5.20%","$60 ","M","Urb/Sub","C","600,300","230,488","$300 ","9-Dec",,,,,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","No","Vinyl","Partial"
295,"SouthPark","Westfield Corp.","Strongville","OH",44136,"Cleveland-Akron, OH","7,500","6,126","7/11/2003","3/26/2004",,"6/30/2014","$1,800,000 ","$1,715,829 ","$229 ","$118,055 ","$192,734 ","4%","$1,652,265 ","$220 ","$205,247 ","$248,652 ","$388,192 ","22.60%","$50 ","M","Urb/Sub","B","1,342,550","500,000","$370 ","8-Aug",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","No","Maple Hardwood","Partial"
296,"Millcreek Mall","Cafaro Company","Erie","PA",16565,"Erie, PA MSA","7,050","5,250","7/11/2003","4/30/2004",,"1/31/2015","$1,600,000 ","$1,417,228 ","$201 ","$79,486 ","$144,194 ","0%","$1,411,868 ","$200 ","$192,279 ","$231,095 ","$285,920 ","20.20%","$60 ","M","Urb/Sub","B","2,139,244","1,040,930","$415 ","8-May",,,,,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","No","Maple Hardwood","Partial"
297,"Magnolia Mall","Preit","Florence","SC",29501,"Florence, SC MSA","6,348","4,580","10/1/2003","7/9/2004",,"7/31/2014","$1,400,000 ","$1,162,105 ","$183 ","$40,401 ","$100,572 ","5%","$1,107,381 ","$174 ","$87,357 ","$124,852 ","$242,300 ","20.90%","$60 ","M","Rural","C","567,555","199,000","$311 ","8-May",,,,,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
298,"Madison Square Mall","CBL","Huntsville","AL",35806,"Huntsville, AL MSA","6,668","5,000","10/1/2003","6/25/2004",,"1/31/2015","$1,600,000 ","$896,221 ","$134 ","($141,857)","($76,108)","-8%","$974,602 ","$146 ","($11,124)","$31,214 ","$274,562 ","30.60%","$50 ","M","Rural","C","1,112,432","329,441","$295 ","8-May",,,,,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
300,"Westland Center","Trademark Management, LTD","Westland","MI",48185,"Detroit-Ann Arbor-Flint, MI","6,781","5,114","10/1/2003","8/27/2004",,"1/31/2015","$1,600,000 ","$1,215,485 ","$179 ","($37,911)","$27,077 ","-16%","$1,444,037 ","$213 ","$174,747 ","$208,664 ","$322,911 ","26.60%","$60 ","M","Urb/Sub","B","1,036,116","227,694","$362 ","8-Aug",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
